Содержание Fe;Магнетит;Доля класса -5мм;Кластер
32.2;85.34;56.62;3
33.3;85.34;54.01;3
33.9;84.35;54.01;3
33.7;84.35;50.77;3
33.5;82.87;50.77;3
34.0;82.87;54.03;3
33.6;84.38;54.03;3
33.7;84.38;52.59;3
33.5;87.57;52.59;3
34.0;87.57;51.96;3
33.9;87.78;51.96;3
33.4;87.78;51.3;3
33.6;84.73;51.3;3
33.4;84.73;49.56;3
33.3;90.61;49.56;3
34.6;90.61;54.48;0
34.7;83.33;54.48;1
34.3;83.33;53.35;1
34.5;86.32;53.35;0
34.1;86.32;54.72;3
34.2;83.2;54.72;3
34.7;83.2;53.6;0
34.6;82.86;53.6;1
34.2;82.86;51.86;1
34.3;87.25;51.86;3
35.5;87.25;54.28;0
35.1;84.57;54.28;0
35.7;84.57;53.89;0
35.3;85.35;53.89;0
34.7;85.35;52.76;0
36.3;87.0;52.76;0
35.1;87.0;53.37;0
35.5;86.23;53.37;0
35.8;86.23;54.35;0
35.3;86.76;54.35;0
34.4;86.76;53.97;3
34.3;85.08;53.97;3
33.6;85.08;53.11;3
34.0;82.62;53.11;3
33.0;82.62;52.18;3
33.6;78.12;52.18;1
33.7;78.12;52.93;1
33.5;81.78;52.93;3
34.0;81.78;49.2;3
34.7;86.66;49.2;0
34.0;86.66;49.01;3
34.2;80.66;49.01;1
33.3;80.66;48.55;3
33.4;82.89;48.55;3
33.0;82.89;53.05;3
33.3;86.4;53.05;3
33.5;86.4;57.22;3
33.8;83.67;57.22;3
33.5;83.67;57.02;3
33.7;84.01;57.02;3
33.3;84.01;58.39;3
33.5;87.13;58.39;3
33.6;87.13;57.54;3
33.6;83.1;57.54;3
33.0;80.26;54.6;3
34.7;80.26;54.39;0
34.7;83.92;54.39;3
34.7;83.92;52.05;3
34.4;86.24;52.05;3
33.6;86.24;52.76;3
34.0;87.11;52.76;3
33.9;87.11;49.78;3
33.5;84.52;49.78;3
34.2;84.52;53.29;3
34.0;86.0;53.29;3
33.8;86.0;53.57;3
33.9;84.23;53.57;3
34.0;84.23;53.97;3
33.9;86.44;53.97;3
34.6;86.44;55.77;3
34.3;84.65;55.77;3
33.0;84.65;54.0;3
33.3;81.86;54.0;3
33.9;81.86;50.54;3
34.1;83.28;50.54;3
33.4;83.28;53.78;3
36.9;85.17;53.78;0
34.0;85.17;51.8;3
33.7;84.22;51.8;3
34.2;84.22;51.18;3
34.1;87.59;51.18;3
33.3;87.59;51.78;3
33.3;84.71;51.78;3
34.1;84.71;54.08;3
34.3;86.65;54.08;3
34.2;86.65;53.63;3
34.1;91.28;53.63;3
33.7;91.28;55.93;3
33.9;89.08;55.93;3
33.8;89.08;56.4;3
33.7;92.91;56.4;3
33.7;92.91;55.71;3
33.9;86.3;55.71;3
34.2;86.3;55.86;3
34.0;85.14;55.86;3
34.2;85.14;55.66;3
34.3;84.79;55.66;3
34.5;84.79;55.29;3
34.5;86.97;55.29;3
34.6;86.97;54.78;3
34.8;89.35;54.78;0
34.4;89.35;55.85;3
34.5;81.75;55.85;3
34.1;81.75;56.92;3
34.4;85.56;56.92;3
34.5;85.56;56.16;3
34.6;84.63;56.16;0
33.9;84.63;54.1;3
34.1;85.74;54.1;3
34.5;85.74;55.76;3
34.4;81.36;55.76;3
34.2;81.36;57.14;3
34.2;83.97;57.14;3
34.3;83.97;56.47;3
34.5;82.92;56.47;1
34.4;82.92;54.85;1
34.6;83.35;54.85;3
34.1;83.35;54.88;3
34.3;86.17;54.88;3
34.9;86.17;54.62;0
35.0;84.34;54.62;0
35.0;84.34;55.21;0
35.0;81.66;55.21;0
34.9;81.66;55.7;0
34.8;80.34;55.7;1
33.2;80.34;57.13;3
33.8;83.56;57.13;3
33.7;83.56;54.97;3
33.5;86.37;54.97;3
33.8;86.37;52.6;3
33.9;82.4;52.6;3
33.7;82.4;56.57;3
33.2;84.74;56.57;3
33.4;84.74;58.09;3
33.9;88.44;58.09;3
34.9;88.44;57.88;0
34.5;85.78;57.88;3
34.8;85.78;58.16;0
34.0;88.26;58.16;3
34.0;88.26;58.32;3
34.1;86.56;58.32;3
33.7;86.56;56.85;3
33.7;88.23;56.85;3
33.4;88.23;56.56;3
33.3;88.57;56.56;3
33.4;88.57;59.04;3
33.5;83.77;59.04;3
34.7;83.77;56.18;3
33.2;81.34;56.18;3
33.5;81.34;55.88;3
33.6;87.68;55.88;3
33.2;87.68;50.81;3
33.3;82.46;50.81;3
34.1;82.46;55.13;3
33.8;80.68;55.13;3
35.5;80.68;55.81;0
35.2;86.36;55.81;0
35.0;86.36;54.68;0
35.1;87.11;54.68;0
34.7;87.11;56.97;0
34.9;84.9;56.97;0
34.9;84.9;57.12;0
34.8;81.41;57.12;0
33.3;81.41;50.78;3
33.7;85.67;50.78;3
34.4;85.67;54.11;3
34.4;83.48;54.11;3
35.0;83.48;56.55;0
34.7;83.24;56.55;3
35.7;83.24;55.11;0
35.2;85.03;55.11;0
35.1;85.03;54.31;0
35.5;86.11;54.31;0
35.0;86.11;53.21;0
35.5;83.63;53.21;0
35.2;83.63;55.37;0
35.4;85.6;55.37;0
34.1;85.6;53.44;3
34.2;87.29;53.44;3
34.8;87.29;55.36;0
34.3;85.43;55.36;3
34.8;85.43;54.31;0
35.6;80.06;54.31;0
34.6;80.06;53.6;3
34.5;83.45;53.6;3
34.1;83.45;57.23;3
33.7;82.75;57.23;3
34.0;82.75;56.95;3
33.9;83.48;56.95;3
34.2;83.48;57.05;3
34.2;87.53;57.05;3
34.8;87.53;57.26;0
34.6;78.98;57.26;1
34.8;78.98;55.79;1
34.6;82.95;55.79;1
34.2;82.95;57.33;1
34.1;87.31;57.33;3
34.2;87.31;55.19;3
34.0;85.89;55.19;1
33.7;85.89;58.43;3
33.9;80.49;58.43;1
34.3;80.49;56.49;1
33.8;86.16;56.49;3
33.9;86.16;58.3;3
33.8;86.12;58.3;3
34.7;86.12;57.01;0
33.8;85.19;57.01;3
33.2;85.19;55.26;3
33.8;83.59;55.26;3
33.1;83.59;55.31;3
33.0;81.49;55.31;1
34.8;81.49;55.59;1
34.5;83.78;55.59;3
34.4;83.78;59.14;3
34.3;84.18;59.14;3
34.4;84.18;58.42;3
34.3;85.23;58.42;3
34.5;85.23;57.71;3
34.6;86.21;57.71;0
34.9;86.21;57.02;0
34.6;82.47;57.02;3
34.8;82.47;55.15;0
34.6;82.83;55.15;0
33.9;82.83;57.16;3
34.2;84.95;57.16;3
33.8;84.95;58.75;3
34.0;79.22;58.75;3
33.4;79.22;57.99;3
33.9;86.44;57.99;3
33.9;86.44;58.42;3
34.0;82.86;58.42;3
32.7;82.86;57.61;3
32.7;85.84;57.61;3
32.9;85.84;57.34;3
32.8;86.56;57.34;3
33.0;86.56;58.23;3
33.4;84.39;58.23;3
34.0;84.39;50.5;3
33.8;83.08;50.5;3
34.0;83.08;59.17;3
33.9;82.49;59.17;3
34.1;82.49;56.83;3
34.0;80.95;56.83;3
33.5;80.95;56.72;3
33.3;83.4;56.72;3
33.2;83.4;56.73;3
33.3;85.23;56.73;3
33.3;85.23;55.91;3
33.6;84.6;55.91;3
34.4;84.6;53.34;3
34.5;86.35;53.34;3
34.3;86.35;57.17;3
33.6;82.29;57.17;3
34.3;82.29;58.2;3
34.4;86.21;58.2;3
34.6;86.21;58.37;3
34.4;86.19;58.37;3
34.7;86.19;57.11;3
34.7;85.01;57.11;0
35.0;85.01;56.75;0
35.1;83.37;56.75;0
34.4;83.37;56.69;3
34.8;88.08;56.69;0
34.1;88.08;58.41;3
34.5;82.66;58.41;3
33.7;82.66;58.05;3
33.7;86.12;58.05;3
33.4;87.39;56.72;3
32.8;81.44;56.72;3
33.4;81.44;56.28;3
33.2;80.1;56.28;3
33.7;80.1;58.4;3
33.6;80.11;58.4;3
33.7;80.11;60.11;3
33.8;81.54;60.11;3
34.6;81.54;60.29;3
34.8;83.84;60.29;0
33.6;83.84;61.35;3
34.5;80.31;61.35;1
34.3;80.31;60.23;3
34.3;77.4;60.23;1
34.2;77.4;58.99;1
33.9;81.79;58.99;1
33.4;81.79;60.49;1
33.5;80.09;60.49;1
34.6;80.09;57.96;1
34.5;81.02;57.96;1
33.8;81.02;58.84;3
33.5;83.0;58.84;3
35.0;83.0;54.65;0
34.9;81.79;54.65;0
35.0;81.79;61.65;0
35.2;82.97;61.65;0
34.8;82.97;58.65;0
34.5;83.75;58.65;3
33.5;83.75;56.1;3
33.5;82.47;56.1;1
35.0;82.47;57.19;1
34.9;84.52;57.19;0
34.2;84.52;53.58;3
34.3;85.82;53.58;3
34.6;85.82;55.82;3
34.2;84.69;55.82;3
34.4;84.69;56.15;3
34.6;84.96;56.15;0
35.3;84.96;55.38;0
35.0;83.51;55.38;0
34.3;83.51;58.08;3
35.4;79.15;58.08;1
35.1;79.15;54.46;1
34.6;80.45;54.46;1
34.7;80.45;52.61;1
35.1;82.86;52.61;0
33.5;82.86;54.19;3
33.6;80.45;54.19;1
33.7;80.45;54.17;1
33.7;81.38;54.17;1
33.8;81.38;55.22;1
33.7;82.24;55.22;3
33.9;82.24;49.81;1
